인사캠,삼일회계법인,삼일회계법인 리크루팅,17.06.29 15:00 ~ 16:00,-,삼일회계법인 리크루팅\n6/29 (목)\n15~16시\n경영관1층 채용상담부스
인사캠,신한캐피탈,신한캐피탈 리크루팅,17.06.13 10:00 ~ 17:00,종료,"신한캐피탈 리크루팅\n
일시 : 6월 13(화) 10:00~17:00\n
장소 : 경영관 1층 채용상담부스신한캐피탈 리크루팅\n
일시 : 6월 13(화) 10:00~17:00\n
장소 : 경영관 1층 채용상담부스"
인사캠,삼천리,삼천리 리크루팅,17.06.12 10:00 ~ 17:00,종료,삼천리 리크루팅\n6월 12(월)\n10~17시\n장소 : 경영관1층 채용상담부스
자과캠,LIG넥스원,17년 LIG넥스원 상반기 신입사원/인턴 채용설명회,17.04.14 11:00 ~ 17:00,종료,17년 상반기 신입사원/인턴 채용 설명회\n*일시 : 채용리크루팅 4월 14일 (금) 10-17시\n??????????? 채용설명회 4월 14일 (금) 13-14시\n*장소: 채용리크루팅- 1공학관 23동 2층 로비 채용상담부스?\n? ? ? ? 채용설명회- 1공학관 22동 22003 강의실
자과캠,LG CNS,2017년 상반기 LG CNS 신입 사원 채용,17.03.28 10:00 ~ 17.03.29 17:00,종료,2017년 LG CNS 상반기?신입사원 채용\n'- 모집 학과?: 컴퓨터공학과/산업공학과/기계공학과/통계학과/수학과 (이공계)\n'- 모집 기간 : 3월27일~4월9일
인사캠,대학내일,2017 상반기 게임빌 캠퍼스 리크루팅,17.05.23 10:00 ~ 17:00,종료,"2017?글로벌 게임빌 인턴 공개 채용 ""NGDC 5기""\nGlobal Mobile Game No.1?게임빌리언에 도전하세요\n'-?지원자격?: 2018.02 / 2017.08?졸업예정자 및 기졸업자\n'-?모집분야?:?게임기획?/?게임프로그래밍?/?게임그래픽?/?사업?/?마케팅?/?데이터분석\n'-?지원기간?: 2017.4.24(월) ~ 2017.5.30(화)\n'-?지원방법?:?온라인지원?(recruit.gamevil.com)"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
